infrastructure_id,name,type,description,location,facilities,image_url
1,Library,Central Library and Digital Resources,"The Central Library at IIIT Dharwad serves as a knowledge hub for students and faculty. It houses a comprehensive collection of books, journals, and digital resources to support academic and research activities.",,"Extensive collection of technical books and reference materials, Print journals and magazines, E-journals and online databases (IEEE, ACM, Springer, etc.), Digital repository of institutional research, Previous year question papers and thesis reports, Reading hall with ample seating capacity, Digital section with computer terminals, Wi-Fi enabled premises, Photocopying and printing services, Online Public Access Catalog (OPAC)",
2,Computing Facilities,State-of-the-art computing infrastructure,"IIIT Dharwad is equipped with modern computing facilities to support academic and research activities. The institute provides high-performance computing resources, specialized labs, and campus-wide internet connectivity.",,"General purpose computing labs with latest hardware, Specialized labs for AI/ML, IoT, and Cyber Security, Software development and programming environments, Graphics and multimedia lab, Project and research labs, High-speed campus-wide internet (1 Gbps NKN connectivity), Wi-Fi coverage throughout the academic buildings and hostels, Virtual Private Network (VPN) for remote access, Learning Management System (LMS), Institute email and cloud storage services",
3,Laboratories,Specialized labs for hands-on learning and research,"Equipped with oscilloscopes, function generators, digital systems, and microcontroller kits for practical experiments in electronics and embedded systems.",,,
